Wall time,Step,Value
1626517053.9815292,1,0.0020000000949949026
1626517464.108531,2,0.0020000000949949026
1626517875.72746,3,0.0020000000949949026
1626518284.8440273,4,0.0020000000949949026
1626518696.2081416,5,0.0020000000949949026
1626519106.781064,6,0.0020000000949949026
1626519516.668467,7,0.0020000000949949026
1626519926.5660381,8,0.0020000000949949026
1626520336.4075713,9,0.0020000000949949026
1626520748.7038486,10,0.0020000000949949026
1626521159.2929425,11,0.0020000000949949026
1626521570.2269402,12,0.0020000000949949026
1626521980.0222292,13,0.0020000000949949026
1626522390.487941,14,0.0010000000474974513
1626522799.927417,15,0.0010000000474974513
1626523208.5851052,16,0.0010000000474974513
1626523621.604954,17,0.0010000000474974513
1626524033.3516378,18,0.0010000000474974513
1626524441.6682022,19,0.0005000000237487257
1626524854.7204404,20,0.0005000000237487257
1626525265.4602642,21,0.0005000000237487257
1626525675.4787827,22,0.0005000000237487257
1626526085.5988917,23,0.0002500000118743628
1626526495.4620569,24,0.0002500000118743628
1626526907.6680071,25,0.0002500000118743628
1626527318.635096,26,0.0002500000118743628
1626527728.9829319,27,0.0001250000059371814
1626528139.7751615,28,0.0001250000059371814
1626528549.6924117,29,0.0001250000059371814
1626528963.3011553,30,0.0001250000059371814
1626529374.3840084,31,6.25000029685907e-05
1626529784.9912205,32,6.25000029685907e-05
1626530193.9361608,33,6.25000029685907e-05
1626530604.4991565,34,6.25000029685907e-05
1626531014.7911286,35,3.125000148429535e-05
1626531425.2098525,36,3.125000148429535e-05
1626531834.2940226,37,3.125000148429535e-05
1626532243.0588772,38,3.125000148429535e-05
1626532652.5413451,39,1.5625000742147677e-05
1626533064.899401,40,1.5625000742147677e-05
1626533476.2606623,41,1.5625000742147677e-05
1626533885.0548418,42,1.5625000742147677e-05
1626534295.949553,43,7.812500371073838e-06
1626534709.0969584,44,7.812500371073838e-06
1626535118.0806077,45,7.812500371073838e-06
1626535526.0552502,46,7.812500371073838e-06
1626535934.1187775,47,3.906250185536919e-06
1626536343.0255625,48,3.906250185536919e-06
1626536751.912695,49,3.906250185536919e-06
1626537163.8603632,50,3.906250185536919e-06
1626537575.4657934,51,1.9531250927684596e-06
1626537984.7710512,52,1.9531250927684596e-06
1626538396.272224,53,1.9531250927684596e-06
1626538804.9251778,54,1.9531250927684596e-06
1626539215.7384953,55,9.765625463842298e-07
1626539625.5357947,56,9.765625463842298e-07
1626540033.5038407,57,9.765625463842298e-07
1626540442.5212846,58,9.765625463842298e-07
1626540851.5679896,59,4.882812731921149e-07
1626541263.8722527,60,4.882812731921149e-07
1626541673.6465955,61,4.882812731921149e-07
1626542081.9147518,62,4.882812731921149e-07
1626542490.855214,63,2.4414063659605745e-07
1626542901.5716717,64,2.4414063659605745e-07
1626543310.1719906,65,2.4414063659605745e-07
1626543719.6047442,66,2.4414063659605745e-07
1626544127.597923,67,1.2207031829802872e-07
1626544536.101492,68,1.2207031829802872e-07
1626544946.0498967,69,1.2207031829802872e-07
1626545361.0034394,70,1.2207031829802872e-07
1626545770.5681043,71,6.103515914901436e-08
1626546399.4802296,72,6.103515914901436e-08
1626546937.0271711,73,6.103515914901436e-08
1626547345.3311172,74,6.103515914901436e-08
1626547753.798822,75,3.051757957450718e-08
1626548163.302637,76,3.051757957450718e-08
1626548572.7096684,77,3.051757957450718e-08
1626548981.25915,78,3.051757957450718e-08
1626549389.643116,79,1.525878978725359e-08
1626549802.813034,80,1.525878978725359e-08
1626550214.449561,81,1.525878978725359e-08
1626550624.035819,82,1.525878978725359e-08
1626551033.7662709,83,1.525878978725359e-08
1626551443.0748649,84,1.525878978725359e-08
1626551853.424446,85,1.525878978725359e-08
1626552263.0277002,86,1.525878978725359e-08
1626552671.963937,87,1.525878978725359e-08
1626553082.489479,88,1.525878978725359e-08
1626553490.5999947,89,1.525878978725359e-08
1626553902.854601,90,1.525878978725359e-08
1626554312.3640878,91,1.525878978725359e-08
1626554722.5810409,92,1.525878978725359e-08
1626555132.1365461,93,1.525878978725359e-08
1626555541.3621626,94,1.525878978725359e-08
1626556158.9349446,95,1.525878978725359e-08
1626556702.1493237,96,1.525878978725359e-08
1626557111.741212,97,1.525878978725359e-08
1626557521.0600102,98,1.525878978725359e-08
1626557930.539656,99,1.525878978725359e-08
1626558343.6730542,100,1.525878978725359e-08
